ra dec stellar_mass r50_s11 r50_nsa bar_fraction B_T
239.86927871886016 20.217548289631942 10.378212928771973 4.65 4.453779924660035 0.135 0.24
230.821606456249 8.813134087065189 10.226783752441406 2.9 2.563120120136667 0.538 0.48
181.21154606046662 54.21083805447647 10.906853675842285 6.53 6.277547152443518 0.931 0.29
13.674995759174625 -1.12354073489343 10.705561637878418 5.13 4.853119690719283 0.245 0.1
152.54602867271643 22.499268015731563 10.157744407653809 5.12 4.393259810513106 0.133 0.27
163.72646631704507 10.047181298743315 10.091917037963867 4.36 4.014080231973783 0.143 0.16
205.14372672375944 7.583670575339326 10.064340591430664 3.8 3.88046323482836 0.368 0.42
136.74356783091704 17.963778091760723 10.433314323425293 7.36 6.375110178493268 0.488 0.31
13.42766947000415 -1.0851790407920665 10.913107872009277 6.67 5.166004653323354 0.333 0.53
171.74883419713885 21.141675717430097 10.134015083312988 5.32 4.681703051665635 0.133 0.04
172.59218596301614 32.005020249777125 10.229385375976562 7.28 6.07798578547516 0.333 0.1
255.59342762540777 61.1665426222039 10.120987892150879 2.69 2.541918375136552 0.091 0.79
209.83414092318012 14.968587945074908 10.415764808654785 8.14 8.519686565244994 0.212 0.13
164.2318755775738 9.282516868791914 10.380515098571777 4.3 3.9075312723212754 0.148 0.03
198.8157349194387 45.28795688743662 10.520859718322754 4.57 4.42780825778527 0.022 0.71
28.059331931220985 1.1016820150678517 10.158231735229492 4.9 4.792086465128153 0.148 0.21
126.00490207877323 37.87447473312544 10.39783763885498 7.07 6.6924135255602115 0.043 0.25
210.88167522283715 17.654140315308535 10.562806129455566 6.26 5.796442341716608 0.419 0.1
333.0724371623482 0.2681853421243922 10.753664016723633 6.35 5.488599834024058 0.457 0.19
163.33926977396064 12.085360596478834 10.66402816772461 8.08 7.223481452444392 0.088 1.0
217.75731422234958 1.242865087521505 10.337048530578613 4.09 3.499145742890374 0.143 0.21
213.89781701350455 3.9257754172542514 10.900590896606445 5.55 4.7364692309408 0.95 0.56
159.4685494407663 10.758325762974586 11.38510513305664 20.89 11.114758129342334 0.105 0.22
159.43662684165196 10.86656904537481 10.347399711608887 3.01 2.783134352671794 0.8 0.45
155.1719265226018 13.96770359119704 10.184100151062012 2.31 1.8509498603138064 0.804 0.46
169.18100189444115 44.86211866326083 10.679620742797852 5.6 5.999459074325878 0.805 0.34
126.04830149974373 37.85370943366868 10.885947227478027 6.96 7.205545014708024 0.061 0.41
218.67547641152294 3.297144275287824 10.008902549743652 3.52 3.3565451259088643 0.214 0.12
187.38988139471437 35.771547261151696 10.365947723388672 6.17 5.562744133210068 0.207 0.03
256.9990160691077 35.14194691570128 10.365029335021973 3.77 3.687833762467627 0.097 0.28
247.23306234676107 16.3185158856841 10.252943992614746 5.5 4.498765134277078 0.483 0.21
135.73726296256618 16.05762433737533 10.646133422851562 6.97 6.872521633652981 0.324 0.73
24.694378413726795 0.2333449310377017 10.321277618408203 6.83 6.110668319362912 0.214 0.04
333.7316845801414 0.27486917026516255 11.031015396118164 8.87 7.182065181295262 0.517 0.32
149.63294128032342 36.2538546172296 10.43228530883789 4.29 4.637530308523387 0.167 0.22
151.46385485152607 20.804103986952 10.667238235473633 4.79 3.918182389403474 0.977 0.68
242.94623574028486 50.215458090346445 10.603374481201172 10.22 8.912245595478163 0.268 0.9
155.25723954712217 13.998901774164427 10.432050704956055 4.96 4.089477314957205 0.892 0.22
127.16814302023552 38.95575530894615 10.149507522583008 8.11 6.555035060845567 0.143 0.15
147.96241966137978 15.755749264142493 10.4312744140625 4.07 3.406944166346138 0.077 0.35
213.26066240386314 0.14638569222140924 10.492212295532227 5.4 4.947814163298712 0.5 0.12
236.49625248228838 27.108190089517194 10.186624526977539 2.45 2.3476129536570998 0.714 0.27
174.373740685794 32.252435862311806 10.82242202758789 4.25 3.789638392713957 1.0 0.83
246.86233694564254 29.788276582574245 10.843321800231934 5.19 4.349253296773817 0.275 0.51
229.44370892785798 -0.7761377389849206 10.248026847839355 6.0 6.406191345396967 0.119 0.78
147.93566669960433 12.987100828952082 10.712292671203613 4.93 3.6739242721806145 0.765 0.63
242.58860367795464 50.55344928223568 10.447968482971191 7.32 6.252441501511443 0.674 0.03
194.21785676306345 26.487721205883048 10.470258712768555 5.2 5.103553153217551 0.07 0.58
225.26601566707518 23.60739563557345 10.517038345336914 6.89 5.855506080063559 0.16 0.21
155.653754713505 22.595312858774644 10.453917503356934 5.05 4.8540657357441575 0.774 0.48
15.320068029774962 -1.0977492951922472 11.000347137451172 11.79 8.759972841205837 0.103 0.27
200.52324329073178 10.70820953291245 10.093843460083008 5.67 4.764926704404498 0.968 0.09
242.85342562878185 50.232446199526585 10.959623336791992 6.34 5.737791052256013 0.806 0.28
149.39402239711185 25.529310168199267 10.718385696411133 7.96 7.049479488144638 0.578 0.13
142.369170778495 23.21564037227756 10.041741371154785 4.68 4.362834981447506 0.386 0.08
155.03280062592106 25.132489630989195 10.39409065246582 5.84 5.4354495146592425 0.065 0.41
159.77139679865877 14.061633312060808 10.115291595458984 7.22 6.582903245706433 0.098 0.02
207.05235750184104 7.394628185347778 10.249545097351074 4.98 4.434022463447567 0.969 0.43
228.872242332113 20.33572429487396 10.362262725830078 4.92 4.566613985584244 0.125 0.04
233.66927862543906 8.36811729712668 10.064106941223145 2.5 2.5194713344589794 0.192 0.28
123.21861784530167 38.63996159004949 10.075156211853027 3.9 3.4482907644762357 0.818 0.21
235.03373930704169 34.63105532346123 10.30707836151123 8.05 7.0682183020288125 0.138 0.12
235.4491409319553 34.440055831872925 10.242844581604004 6.21 5.418455475740595 0.114 0.08
126.91275025161592 40.72301581282607 10.367330551147461 10.29 8.549982255687368 0.894 0.23
258.6557552379146 57.82726068743249 10.425461769104004 7.02 5.898720399133258 0.074 0.25
225.32294771161932 9.903951615170328 10.02468204498291 4.03 3.6640761983779386 0.107 0.13
167.8911116782318 2.957616106987882 10.817222595214844 7.68 5.513065775152883 0.5 0.39
187.08640889872234 41.27432807059516 10.108606338500977 6.61 5.239816046367512 0.085 0.03
252.07240288514157 35.84110698791979 10.151312828063965 4.03 3.9233422539497975 0.0 0.45
225.12820981901075 23.605920481545954 10.213484764099121 3.88 3.6740328073178756 0.061 0.1
171.24180100556435 31.359964917363538 10.18132209777832 3.01 2.8771488485665775 0.074 0.16
127.2821347357685 39.0059922893176 10.587254524230957 8.8 7.799749432552484 0.111 0.1
219.04643180560316 61.190587944102305 10.34626293182373 4.15 4.091934965144195 0.267 0.81
214.19749404189153 26.404914304461403 10.438142776489258 4.07 3.5623226186566344 0.661 0.44
182.65318743231245 34.95656064019768 10.094161033630371 10.31 9.036093501463288 0.084 0.06
223.0459837975302 -0.2560949063647618 11.098687171936035 7.73 6.559351980127009 0.619 0.21
229.87812259973916 9.379664938551782 10.242981910705566 5.14 5.019885867179357 0.0 0.95
233.40311641672764 8.418765376131468 10.732274055480957 7.42 6.297724876242968 0.688 0.26
126.57406823069748 40.90515806241538 10.483476638793945 5.07 4.4171833827158755 0.095 0.05
